cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage_Alveolar,fibroblasts,Myofibroblast,50,1.0,1,8,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,eligible_descriptive,
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage,fibroblasts,Myofibroblast,50,1.0,1,10,insufficient_same_donor_coverage,
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,eligible_descriptive,
