comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,FGF10,SMG mucous,other,False,0,,
AT2,AT2,AIS,normal,FGF10,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,FGF10,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Tuft,other,False,0,,
AT2,AT2,AIS,normal,FGF7,AT1,other,False,0,,
AT2,AT2,AIS,normal,FGF7,AT2,AT2,False,0,,
AT2,AT2,AIS,normal,FGF7,Adventitial fibroblasts,fibroblasts,True,4,19;21;22;23,FGFR1;FGFR2;FGFR3;NRP1
AT2,AT2,AIS,normal,FGF7,Alveolar fibroblasts,fibroblasts,True,11,3;5;9;12;14;16;17;19;21;22;23,FGFR1;FGFR2;FGFR3;NRP1
AT2,AT2,AIS,normal,FGF7,B cells,other,False,0,,
AT2,AT2,AIS,normal,FGF7,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,FGF7,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,FGF7,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,FGF7,Classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,FGF7,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,FGF7,EC arterial,other,False,0,,
AT2,AT2,AIS,normal,FGF7,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,FGF7,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,FGF7,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,FGF7,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,FGF7,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF7,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,FGF7,Lymphatic EC mature,other,False,0,,
