gene	supplied_set	source_cell	evidence
RBMS3	HNF1B_unique	B237	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RANBP17	ATF3 _HNF1B_common	C237	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNOT6L	ATF3_unique	A238	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RERGL	HNF1B_unique	B238	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAPGEF2	ATF3 _HNF1B_common	C238	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNTN5	ATF3_unique	A239	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGN	HNF1B_unique	B239	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAPH1	ATF3 _HNF1B_common	C239	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL12A1	ATF3_unique	A240	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RHEB	HNF1B_unique	B240	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASGEF1A	ATF3 _HNF1B_common	C240	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL21A1	ATF3_unique	A241	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RHOB	HNF1B_unique	B241	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASSF3	ATF3 _HNF1B_common	C241	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL27A1	ATF3_unique	A242	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RHPN2	HNF1B_unique	B242	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBBP8	ATF3 _HNF1B_common	C242	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL4A3BP	ATF3_unique	A243	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPL5	HNF1B_unique	B243	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGMB	ATF3 _HNF1B_common	C243	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL6A3	ATF3_unique	A244	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPUSD3	HNF1B_unique	B244	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGS2	ATF3 _HNF1B_common	C244	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL7A1	ATF3_unique	A245	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RRP1B	HNF1B_unique	B245	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RHAG	ATF3 _HNF1B_common	C245	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL8A1	ATF3_unique	A246	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RSPO2	HNF1B_unique	B246	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIC1	ATF3 _HNF1B_common	C246	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COMMD7	ATF3_unique	A247	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
S100G	HNF1B_unique	B247	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF186	ATF3 _HNF1B_common	C247	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COPS8	ATF3_unique	A248	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SAR1B	HNF1B_unique	B248	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SCHIP1	ATF3 _HNF1B_common	C248	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COQ7	ATF3_unique	A249	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEC23A	HNF1B_unique	B249	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SCN3A	ATF3 _HNF1B_common	C249	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CORIN	ATF3_unique	A250	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SERINC5	HNF1B_unique	B250	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SELENOP	ATF3 _HNF1B_common	C250	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CORO6	ATF3_unique	A251	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SERTAD2	HNF1B_unique	B251	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEMA3C	ATF3 _HNF1B_common	C251	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COX6C	ATF3_unique	A252	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SETD2	HNF1B_unique	B252	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEMA3E	ATF3 _HNF1B_common	C252	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPA1	ATF3_unique	A253	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SFT2D3	HNF1B_unique	B253	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SFR1	ATF3 _HNF1B_common	C253	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPA6	ATF3_unique	A254	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIRT4	HNF1B_unique	B254	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SGO1	ATF3 _HNF1B_common	C254	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPAMD8	ATF3_unique	A255	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC15A5	HNF1B_unique	B255	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SGPP1	ATF3 _HNF1B_common	C255	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPEB1	ATF3_unique	A256	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC19A3	HNF1B_unique	B256	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SH2D4A	ATF3 _HNF1B_common	C256	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPEB2	ATF3_unique	A257	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC1A4	HNF1B_unique	B257	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIGLECL1	ATF3 _HNF1B_common	C257	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPEB4	ATF3_unique	A258	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC2A8	HNF1B_unique	B258	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SKAP1	ATF3 _HNF1B_common	C258	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPNE4	ATF3_unique	A259	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC30A10	HNF1B_unique	B259	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC16A12	ATF3 _HNF1B_common	C259	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPS1	ATF3_unique	A260	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLIT2	HNF1B_unique	B260	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC16A7	ATF3 _HNF1B_common	C260	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRABP1	ATF3_unique	A261	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMYD2	HNF1B_unique	B261	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC22A1	ATF3 _HNF1B_common	C261	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CREB1	ATF3_unique	A262	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNRPE	HNF1B_unique	B262	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC22A2	ATF3 _HNF1B_common	C262	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CREB3L3	ATF3_unique	A263	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOX17	HNF1B_unique	B263	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC28A3	ATF3 _HNF1B_common	C263	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRH	ATF3_unique	A264	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPINK5	HNF1B_unique	B264	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC2A2	ATF3 _HNF1B_common	C264	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRISPLD1	ATF3_unique	A265	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPTBN1	HNF1B_unique	B265	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC2A9	ATF3 _HNF1B_common	C265	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRLF2	ATF3_unique	A266	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SRD5A3	HNF1B_unique	B266	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC30A4	ATF3 _HNF1B_common	C266	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRMP1	ATF3_unique	A267	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SSB	HNF1B_unique	B267	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC38A11	ATF3 _HNF1B_common	C267	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRYBG1	ATF3_unique	A268	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUCLA2	HNF1B_unique	B268	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC41A2	ATF3 _HNF1B_common	C268	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CRYBG3	ATF3_unique	A269	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUGCT	HNF1B_unique	B269	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMARCA5	ATF3 _HNF1B_common	C269	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSF1	ATF3_unique	A270	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUSD4	HNF1B_unique	B270	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMC2	ATF3 _HNF1B_common	C270	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSF2RA	ATF3_unique	A271	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TCP11	HNF1B_unique	B271	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMIM15	ATF3 _HNF1B_common	C271	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSGALNACT1	ATF3_unique	A272	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
THBS4	HNF1B_unique	B272	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNCAIP	ATF3 _HNF1B_common	C272	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSN2	ATF3_unique	A273	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TIMD4	HNF1B_unique	B273	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNX11	ATF3 _HNF1B_common	C273	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSNK1A1	ATF3_unique	A274	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TLR5	HNF1B_unique	B274	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNX2	ATF3 _HNF1B_common	C274	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTPS1	ATF3_unique	A275	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TM2D1	HNF1B_unique	B275	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
