pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
OMG to LINGO1,278.0,298.0,18.0,285.5,294.0,16.0,connectomedb2020
PDGFC to PDGFRB,157.5,150.0,26.0,129.5,117.0,22.0,connectomedb2020
PDGFD to PDGFRB,231.0,233.0,15.0,266.0,279.0,13.0,connectomedb2020
PGF to NRP1,338.0,359.0,13.0,,,,connectomedb2020
PIP to CD4,331.0,356.0,22.0,287.5,297.0,18.0,connectomedb2020
PLA2G10 to PLA2R1,324.0,345.0,21.0,303.0,316.0,18.0,connectomedb2020
PLAT to LRP1,249.5,255.0,20.0,290.5,301.0,12.0,connectomedb2020
PLAU to IGF2R,182.5,175.0,24.0,173.5,165.0,20.0,connectomedb2020
PLAU to LRP1,90.5,88.0,24.0,72.5,65.0,20.0,connectomedb2020
PLAU to PLAUR,153.5,148.0,24.0,125.5,114.0,20.0,connectomedb2020
PLTP to ABCA1,311.0,328.0,23.0,311.0,321.0,19.0,connectomedb2020
POSTN to PTK7,,,,363.0,358.0,11.0,connectomedb2020
PROS1 to AXL,105.0,111.0,26.0,97.5,97.0,22.0,connectomedb2020
PROS1 to MERTK,358.5,375.0,20.0,315.0,327.0,17.0,connectomedb2020
PSAP to LRP1,16.5,11.0,26.0,13.0,11.0,22.0,connectomedb2020
PSEN1 to NCSTN,241.5,245.0,24.0,353.5,353.0,20.0,connectomedb2020
PSEN1 to NOTCH2,118.0,119.0,26.0,93.0,91.0,22.0,connectomedb2020
PSEN1 to NOTCH3,402.0,399.0,14.0,415.5,380.0,12.0,connectomedb2020
PTDSS1 to JMJD6,308.5,325.0,20.0,336.0,339.0,18.0,connectomedb2020
PTGS2 to CAV1,122.0,123.0,26.0,118.0,109.0,21.0,connectomedb2020
PTN to PLXNB2,430.0,406.0,15.0,,,,connectomedb2020
PTN to PTPRS,243.5,246.0,18.0,384.0,370.0,12.0,connectomedb2020
PTPRC to MRC1,347.0,369.0,14.0,363.0,359.0,14.0,connectomedb2020
PTPRZ1 to NCAM1,399.0,396.0,13.0,371.5,364.0,12.0,connectomedb2020
PVR to NECTIN3,342.0,366.0,15.0,392.5,375.0,12.0,connectomedb2020
RGMA to NEO1,287.0,309.0,21.0,317.0,330.0,18.0,connectomedb2020
RGMB to NEO1,306.0,324.0,17.0,355.0,355.0,16.0,connectomedb2020
RPS19 to C5AR1,225.0,227.0,24.0,330.5,334.0,20.0,connectomedb2020
RTN4 to LINGO1,200.5,198.0,18.0,298.5,309.0,16.0,connectomedb2020
RTN4 to TNFRSF19,360.0,378.0,20.0,321.0,331.0,17.0,connectomedb2020
SCGB3A1 to MARCO,218.0,219.0,19.0,315.0,328.0,15.0,connectomedb2020
SCGB3A2 to MARCO,220.0,221.0,19.0,316.0,329.0,15.0,connectomedb2020
SDC2 to PTPRJ,191.0,186.0,25.0,241.0,253.0,19.0,connectomedb2020
SEMA3A to NRP1,138.5,138.0,26.0,133.5,121.0,22.0,connectomedb2020
SEMA3A to NRP2,323.0,342.0,21.0,299.0,310.0,19.0,connectomedb2020
SEMA3A to PLXNA2,197.0,194.0,25.0,206.0,210.0,21.0,connectomedb2020
SEMA3A to PLXNA4,292.5,313.0,22.0,330.0,333.0,20.0,connectomedb2020
SEMA3B to NRP1,101.0,105.0,25.0,101.0,101.0,21.0,connectomedb2020
SEMA3B to NRP2,239.0,241.0,20.0,235.5,246.0,18.0,connectomedb2020
SEMA3C to NRP1,44.0,34.0,26.0,40.0,32.0,22.0,connectomedb2020
SEMA3C to NRP2,191.0,187.0,21.0,180.0,178.0,19.0,connectomedb2020
SEMA3C to PLXND1,373.0,387.0,19.0,372.0,365.0,17.0,connectomedb2020
SEMA3E to PLXND1,377.0,389.0,19.0,374.0,367.0,17.0,connectomedb2020
SEMA3F to NRP1,281.0,301.0,17.0,339.0,345.0,15.0,connectomedb2020
SEMA3F to NRP2,404.5,400.0,14.0,365.0,360.0,12.0,connectomedb2020
SEMA4A to PLXNB2,309.0,326.0,19.0,355.0,356.0,17.0,connectomedb2020
SEMA4A to PLXND1,342.0,365.0,19.0,376.0,368.0,17.0,connectomedb2020
SEMA4B to DCBLD2,212.0,212.0,25.0,208.0,215.0,21.0,connectomedb2020
SEMA4C to PLXNB2,376.5,388.0,16.0,367.0,362.0,14.0,connectomedb2020
SEMA4D to PLXNB2,340.0,362.0,18.0,379.0,369.0,17.0,connectomedb2020
SEMA6A to PLXNA2,282.0,304.0,23.0,333.5,337.0,20.0,connectomedb2020
SEMA6A to PLXNA4,371.0,386.0,21.0,388.0,372.0,19.0,connectomedb2020
SEMA6D to TYROBP,254.5,261.0,24.0,387.0,371.0,18.0,connectomedb2020
SERPINA1 to LRP1,29.5,23.0,26.0,18.5,14.0,22.0,connectomedb2020
SERPINE1 to LRP1,73.0,65.0,22.0,97.0,94.0,17.0,connectomedb2020
SERPINE2 to LRP1,247.0,252.0,15.0,311.0,322.0,12.0,connectomedb2020
SERPINF1 to PLXDC1,279.0,300.0,14.0,338.5,344.0,12.0,connectomedb2020
SERPINF1 to PLXDC2,23.5,16.0,26.0,11.0,7.0,22.0,connectomedb2020
SERPING1 to LRP1,26.5,21.0,26.0,83.0,79.0,22.0,connectomedb2020
SERTAD1 to AR,319.5,337.0,22.0,388.5,373.0,20.0,connectomedb2020
SFTPD to SIRPA,241.0,244.0,23.0,313.0,324.0,19.0,connectomedb2020
SLIT2 to APP,64.0,51.0,26.0,62.5,51.0,22.0,connectomedb2020
SLIT2 to GPC1,271.0,290.0,20.0,313.0,325.0,17.0,connectomedb2020
SLIT2 to ROBO1,92.0,90.0,26.0,97.0,95.0,22.0,connectomedb2020
SLIT2 to ROBO2,38.5,29.0,26.0,57.0,45.0,22.0,connectomedb2020
SLIT3 to ROBO1,46.5,37.0,22.0,346.5,349.0,16.0,connectomedb2020
SLIT3 to ROBO2,14.5,9.0,22.0,347.5,350.0,16.0,connectomedb2020
SLITRK6 to PTPRS,351.0,371.0,24.0,397.5,376.0,20.0,connectomedb2020
SLPI to PLSCR1,63.5,50.0,26.0,53.0,39.0,22.0,connectomedb2020
SLPI to PLSCR4,36.0,28.0,25.0,27.5,20.0,22.0,connectomedb2020
SPINK1 to EGFR,213.5,215.0,14.0,207.0,212.0,13.0,connectomedb2020
SPON1 to APP,285.0,308.0,19.0,346.0,348.0,16.0,connectomedb2020
SPON2 to ITGA5,161.0,154.0,24.0,137.5,127.0,20.0,connectomedb2020
SPON2 to ITGB1,95.5,99.0,26.0,80.5,73.0,22.0,connectomedb2020
SPP1 to CD44,133.0,132.0,19.0,122.0,113.0,17.0,connectomedb2020
SPP1 to ITGA9,251.0,258.0,19.0,354.0,354.0,17.0,connectomedb2020
SPP1 to ITGAV,165.0,159.0,19.0,152.0,142.0,17.0,connectomedb2020
SPP1 to ITGB1,166.0,160.0,19.0,160.0,153.0,17.0,connectomedb2020
SPP1 to ITGB5,188.0,181.0,19.0,184.0,183.0,17.0,connectomedb2020
TCTN1 to TMEM67,399.0,395.0,16.0,431.5,383.0,14.0,connectomedb2020
TFF3 to ACKR3,120.5,122.0,24.0,98.0,98.0,21.0,connectomedb2020
TFPI to LRP1,68.0,56.0,26.0,99.0,99.0,22.0,connectomedb2020
TGFA to EGFR,189.0,183.0,24.0,255.0,270.0,21.0,connectomedb2020
TGFA to ERBB4,295.5,316.0,20.0,390.0,374.0,18.0,connectomedb2020
TGFB1 to ACVRL1,208.0,207.0,23.0,226.5,230.0,20.0,connectomedb2020
TGFB1 to ENG,159.0,151.0,26.0,137.5,128.0,22.0,connectomedb2020
TGFB1 to ITGAV,123.5,125.0,26.0,108.0,104.0,22.0,connectomedb2020
TGFB1 to ITGB8,221.0,224.0,24.0,276.0,288.0,20.0,connectomedb2020
TGFB1 to SDC2,110.0,114.0,26.0,97.0,96.0,22.0,connectomedb2020
TGFB1 to TGFBR1,182.0,174.0,26.0,187.0,185.0,22.0,connectomedb2020
TGFB1 to TGFBR2,110.5,115.0,26.0,77.5,68.0,22.0,connectomedb2020
TGFB1 to TGFBR3,89.5,86.0,26.0,71.0,63.0,22.0,connectomedb2020
TGFB1 to VASN,178.5,168.0,26.0,152.0,143.0,22.0,connectomedb2020
TGFB2 to ACVR1,265.0,277.0,23.0,358.0,357.0,19.0,connectomedb2020
TGFB2 to ENG,155.0,149.0,26.0,135.0,124.0,21.0,connectomedb2020
TGFB2 to TGFBR1,188.5,182.0,26.0,199.0,200.0,21.0,connectomedb2020
TGFB2 to TGFBR2,91.5,89.0,26.0,83.0,80.0,21.0,connectomedb2020
TGFB2 to TGFBR3,76.5,72.0,26.0,67.0,61.0,21.0,connectomedb2020
TGM2 to ITGB1,96.0,100.0,24.0,108.0,105.0,20.0,connectomedb2020
TGM2 to SDC4,255.0,263.0,21.0,336.0,340.0,17.0,connectomedb2020
THBS1 to CD47,149.5,144.0,26.0,148.0,140.0,22.0,connectomedb2020
THBS1 to ITGB1,113.5,116.0,26.0,118.5,110.0,22.0,connectomedb2020
THBS1 to LRP1,73.0,64.0,26.0,79.5,72.0,22.0,connectomedb2020
THBS1 to PTPRJ,196.0,192.0,25.0,202.0,202.0,21.0,connectomedb2020
THBS1 to SDC4,256.0,264.0,23.0,337.0,343.0,19.0,connectomedb2020
TIMP1 to CD63,1.0,1.0,26.0,9.0,5.0,22.0,connectomedb2020
TIMP2 to ITGB1,103.0,108.0,26.0,109.0,106.0,21.0,connectomedb2020
TNC to CNTN1,424.0,405.0,13.0,459.0,385.0,11.0,connectomedb2020
TNC to EGFR,70.0,57.0,26.0,57.0,46.0,20.0,connectomedb2020
TNC to ITGAV,83.5,80.0,26.0,67.0,62.0,20.0,connectomedb2020
TNC to ITGB1,87.0,84.0,26.0,78.0,70.0,20.0,connectomedb2020
TNFSF10 to TNFRSF10B,173.0,163.0,26.0,174.0,167.0,22.0,connectomedb2020
TNFSF10 to TNFRSF10D,327.0,351.0,17.0,417.0,381.0,16.0,connectomedb2020
TNFSF12 to TNFRSF12A,335.0,357.0,13.0,,,,connectomedb2020
TNFSF14 to LTBR,319.5,336.0,18.0,418.0,382.0,16.0,connectomedb2020
TNFSF14 to TNFRSF14,394.0,393.0,13.0,451.5,384.0,12.0,connectomedb2020
VCAN to CD44,127.0,128.0,19.0,204.0,207.0,17.0,connectomedb2020
VCAN to EGFR,170.0,161.0,19.0,177.0,175.0,17.0,connectomedb2020
VCAN to ITGB1,179.0,169.0,19.0,209.0,216.0,17.0,connectomedb2020
VEGFA to GPC1,289.0,311.0,19.0,345.5,347.0,16.0,connectomedb2020
VEGFA to NRP1,108.0,113.0,25.0,95.0,92.0,21.0,connectomedb2020
VEGFA to NRP2,235.5,236.0,20.0,331.0,335.0,18.0,connectomedb2020
VEGFB to NRP1,188.0,180.0,25.0,181.0,179.0,21.0,connectomedb2020
VIM to CD44,5.0,3.0,26.0,14.5,12.0,22.0,connectomedb2020
WNT2B to FZD7,362.0,380.0,13.0,474.0,386.0,12.0,connectomedb2020
WNT5A to FZD1,396.0,394.0,13.0,,,,connectomedb2020
WNT5A to ROR1,205.0,204.0,15.0,335.5,338.0,12.0,connectomedb2020
WNT5A to ROR2,213.0,214.0,15.0,279.0,291.0,12.0,connectomedb2020
WNT5A to RYK,267.0,281.0,15.0,347.5,351.0,12.0,connectomedb2020
WNT7B to FZD1,340.0,363.0,19.0,412.0,378.0,16.0,connectomedb2020
WNT7B to LRP5,361.0,379.0,17.0,413.5,379.0,14.0,connectomedb2020
ZP3 to EGFR,214.0,217.0,25.0,301.5,314.0,22.0,connectomedb2020
ZP3 to MERTK,385.0,391.0,20.0,400.0,377.0,17.0,connectomedb2020
A2M to LRP1,17.0,15.0,18.0,253.5,250.0,12.0,italk
ADAM10 to AXL,94.5,73.0,26.0,69.0,51.0,22.0,italk
ADAM10 to EPHA3,254.0,245.0,22.0,193.0,179.0,21.0,italk
ADAM12 to ITGA9,280.0,277.0,26.0,191.0,176.0,22.0,italk
ADAM12 to ITGB1,125.5,121.0,26.0,108.5,97.0,22.0,italk
ADAM12 to SDC4,336.0,343.0,23.0,201.0,190.0,19.0,italk
ADAM15 to ITGA5,315.5,316.0,24.0,231.0,226.0,20.0,italk
ADAM15 to ITGA9,314.5,315.0,26.0,232.5,229.0,22.0,italk
ADAM15 to ITGAV,236.5,224.0,26.0,197.5,189.0,22.0,italk
ADAM15 to ITGB1,240.5,228.0,26.0,195.0,184.0,22.0,italk
ADAM17 to ERBB4,255.0,246.0,21.0,197.0,187.0,19.0,italk
ADAM17 to ITGA5,226.0,215.0,24.0,189.5,174.0,20.0,italk
ADAM17 to ITGB1,111.5,94.0,26.0,97.0,85.0,22.0,italk
ADAM9 to ITGAV,65.5,49.0,26.0,47.5,35.0,22.0,italk
ADAM9 to ITGB1,69.5,52.0,26.0,56.5,42.0,22.0,italk
ADAM9 to ITGB5,103.5,86.0,26.0,83.0,69.0,22.0,italk
ADM to RAMP2,364.0,396.0,15.0,248.0,244.0,13.0,italk
AFDN to EPHB2,287.0,285.0,23.0,219.0,211.0,19.0,italk
AFDN to NECTIN2,132.0,131.0,26.0,115.0,107.0,22.0,italk
AFDN to NECTIN3,299.5,302.0,24.0,226.0,222.0,21.0,italk
AFDN to NRXN2,393.0,434.0,13.0,281.0,291.0,11.0,italk
AFDN to NRXN3,277.0,274.0,23.0,202.0,192.0,21.0,italk
AGRN to MUSK,240.0,227.0,25.0,225.0,220.0,21.0,italk
ANGPT1 to ITGA5,293.5,296.0,14.0,,,,italk
ANGPT1 to ITGB1,165.0,166.0,14.0,,,,italk
ANOS1 to FGFR1,53.0,39.0,26.0,50.5,39.0,22.0,italk
ANOS1 to SDC2,104.0,87.0,26.0,88.0,76.0,22.0,italk
ANXA1 to EGFR,15.0,8.0,26.0,10.0,4.0,22.0,italk
APOD to LEPR,307.0,307.0,23.0,192.0,178.0,20.0,italk
APOE to LDLR,260.0,251.0,23.0,212.0,201.0,20.0,italk
APOE to LRP1,36.0,30.0,26.0,54.0,41.0,22.0,italk
APOE to LRP5,442.5,488.0,18.0,254.0,251.0,15.0,italk
APP to CAV1,56.0,41.0,26.0,42.5,30.0,22.0,italk
APP to CD74,31.0,24.0,26.0,26.0,22.0,22.0,italk
APP to GPC1,350.0,369.0,20.0,205.0,196.0,17.0,italk
APP to LRP1,17.5,16.0,26.0,14.5,11.0,22.0,italk
APP to NCSTN,345.5,364.0,24.0,270.5,275.0,20.0,italk
APP to TNFRSF21,497.5,516.0,16.0,308.5,335.0,14.0,italk
AREG to EGFR,53.5,40.0,26.0,44.5,32.0,22.0,italk
ARF1 to INSR,192.0,193.0,26.0,154.5,144.0,22.0,italk
ASIP to ATRN,326.0,334.0,19.0,274.0,277.0,18.0,italk
ASIP to MGRN1,353.0,380.0,19.0,275.5,279.0,18.0,italk
AZGP1 to ITGAV,190.0,190.0,21.0,179.0,160.0,18.0,italk
B2M to HLA-F,385.5,425.0,16.0,247.5,243.0,14.0,italk
B2M to TFRC,112.0,95.0,26.0,80.5,65.0,22.0,italk
BGN to LY96,342.0,356.0,15.0,,,,italk
BMP2 to ACVR1,373.0,410.0,23.0,289.0,304.0,19.0,italk
BMP2 to ACVR2A,286.5,284.0,26.0,235.0,231.0,21.0,italk
BMP2 to BMPR1A,276.5,273.0,26.0,237.0,235.0,21.0,italk
BMP2 to BMPR1B,325.0,332.0,16.0,290.0,309.0,15.0,italk
BMP2 to BMPR2,251.5,239.0,26.0,230.0,225.0,21.0,italk
BMP2 to ENG,304.0,304.0,26.0,236.0,232.0,21.0,italk
BMP3 to ACVR1,463.0,506.0,15.0,296.5,319.0,14.0,italk
BMP3 to ACVR2A,440.5,483.0,18.0,278.5,288.0,16.0,italk
BMP3 to BMPR1A,431.0,476.0,18.0,279.5,290.0,16.0,italk
BMP3 to BMPR2,431.0,475.0,18.0,277.5,284.0,16.0,italk
BMP6 to ACVR1,451.0,499.0,19.0,290.0,310.0,17.0,italk
BMP6 to ACVR2A,426.5,470.0,22.0,270.0,274.0,19.0,italk
BMP6 to BMPR1A,417.5,462.0,22.0,267.0,269.0,19.0,italk
BMP6 to BMPR1B,453.0,500.0,13.0,289.5,308.0,12.0,italk
BMP6 to BMPR2,414.0,460.0,22.0,247.0,242.0,19.0,italk
BMP7 to ACVR1,412.0,458.0,17.0,312.0,341.0,15.0,italk
BMP7 to ACVR2A,356.0,386.0,18.0,303.5,323.0,16.0,italk
BMP7 to BMPR1A,355.5,385.0,18.0,303.5,324.0,16.0,italk
BMP7 to BMPR1B,400.5,443.0,14.0,315.0,345.0,13.0,italk
BMP7 to BMPR2,337.0,346.0,18.0,283.0,297.0,16.0,italk
BMP7 to ENG,384.0,421.0,18.0,305.5,332.0,16.0,italk
BTC to EGFR,389.0,431.0,22.0,307.0,334.0,19.0,italk
BTC to ERBB4,411.0,455.0,19.0,319.0,353.0,17.0,italk
C1QB to LRP1,135.5,133.0,26.0,117.5,110.0,22.0,italk
C1orf112 to PLSCR4,411.0,453.0,13.0,310.0,337.0,13.0,italk
C1orf194 to PLSCR4,83.0,61.0,25.0,58.0,44.0,22.0,italk
C3 to CD46,100.5,83.0,26.0,78.5,62.0,22.0,italk
C3 to CD81,37.0,31.0,26.0,32.5,26.0,22.0,italk
C3 to LRP1,16.5,10.0,26.0,15.0,12.0,22.0,italk
C4BPA to BMPR2,191.5,192.0,22.0,179.0,161.0,19.0,italk
C4BPA to CD40,350.5,370.0,18.0,268.0,271.0,16.0,italk
C4BPA to LRP1,152.0,157.0,22.0,125.0,116.0,19.0,italk
C5 to C5AR1,434.0,479.0,18.0,297.5,320.0,16.0,italk
CALM1 to ABCA1,27.5,21.0,26.0,22.5,19.0,22.0,italk
CALM1 to CACNA1C,8.5,5.0,26.0,6.5,3.0,22.0,italk
CALM1 to EGFR,14.0,6.0,26.0,10.5,5.0,22.0,italk
CALM1 to FAS,226.0,216.0,24.0,191.5,177.0,20.0,italk
CALM1 to INSR,110.5,93.0,26.0,74.5,57.0,22.0,italk
CALM1 to MYLK,29.5,22.0,24.0,21.5,17.0,20.0,italk
CALM1 to PDE1A,117.0,101.0,23.0,79.0,63.0,19.0,italk
CALM1 to PTPRA,68.0,50.0,26.0,49.0,36.0,22.0,italk
CALM3 to ABCA1,208.5,202.0,26.0,174.0,154.0,22.0,italk
CALM3 to EGFR,155.5,161.0,26.0,142.0,131.0,22.0,italk
CALM3 to INSR,250.5,237.0,26.0,229.0,224.0,22.0,italk
CALM3 to MYLK,193.0,196.0,24.0,188.0,172.0,20.0,italk
CALM3 to PDE1A,265.0,261.0,23.0,266.0,267.0,19.0,italk
CALR to HLA-F,403.5,446.0,16.0,320.0,356.0,14.0,italk
CALR to ITGAV,179.5,181.0,26.0,177.0,159.0,22.0,italk
CALR to LRP1,148.0,150.0,26.0,137.0,128.0,22.0,italk
CCL18 to ERG28,454.0,502.0,18.0,303.5,325.0,16.0,italk
CD14 to ITGB1,378.0,415.0,17.0,289.0,305.0,14.0,italk
CD55 to ADGRE5,263.0,254.0,22.0,250.0,246.0,18.0,italk
CDH1 to EGFR,16.5,11.0,26.0,10.5,6.0,22.0,italk
CDH1 to IGF1R,30.0,23.0,26.0,30.0,25.0,22.0,italk
CDH1 to ITGAE,211.0,204.0,26.0,173.5,153.0,22.0,italk
CDH1 to LRP5,446.0,491.0,18.0,290.0,311.0,15.0,italk
CDH1 to PTPRM,32.5,26.0,26.0,27.5,23.0,22.0,italk
CGN to TGFBR1,246.0,235.0,26.0,232.0,228.0,22.0,italk
CGN to TGFBR2,93.5,72.0,26.0,73.0,56.0,22.0,italk
CNTN4 to PTPRG,21.5,20.0,26.0,62.0,46.0,22.0,italk
COL14A1 to CD44,250.0,236.0,21.0,254.0,252.0,14.0,italk
COL18A1 to GPC1,384.0,422.0,20.0,310.0,338.0,15.0,italk
COL18A1 to ITGA5,285.0,282.0,22.0,270.5,276.0,16.0,italk
COL18A1 to ITGB1,154.5,160.0,24.0,220.0,214.0,18.0,italk
COL1A1 to CD44,51.0,37.0,24.0,44.0,31.0,19.0,italk
COL1A1 to DDR2,69.5,51.0,24.0,42.0,29.0,19.0,italk
COL1A1 to ITGA1,147.0,148.0,24.0,144.0,134.0,19.0,italk
COL1A1 to ITGA11,386.0,426.0,19.0,331.0,363.0,15.0,italk
COL1A1 to ITGA2,442.5,487.0,20.0,255.5,254.0,16.0,italk
COL1A1 to ITGA5,264.0,258.0,23.0,243.5,239.0,18.0,italk
COL1A1 to ITGAV,117.5,104.0,24.0,115.0,108.0,19.0,italk
COL1A1 to ITGB1,117.5,102.0,24.0,120.0,111.0,19.0,italk
COL1A2 to CD44,38.0,32.0,19.0,183.0,165.0,13.0,italk
COL1A2 to ITGA1,122.0,112.0,19.0,259.0,260.0,13.0,italk
COL1A2 to ITGA11,393.0,433.0,15.0,,,,italk
COL1A2 to ITGA2,511.0,519.0,17.0,334.5,367.0,12.0,italk
COL1A2 to ITGAV,84.0,63.0,19.0,253.0,247.0,13.0,italk
COL1A2 to ITGB1,86.0,65.0,19.0,239.0,236.0,13.0,italk
COL3A1 to DDR2,112.5,96.0,20.0,257.0,257.0,15.0,italk
COL3A1 to ITGA2,517.0,523.0,18.0,335.5,370.0,14.0,italk
COL3A1 to ITGB1,131.5,130.0,20.0,262.0,263.0,15.0,italk
COL4A1 to CD47,137.0,135.0,25.0,216.0,209.0,18.0,italk
COL4A1 to ITGA1,100.0,81.0,25.0,203.0,194.0,18.0,italk
COL4A1 to ITGA2,395.5,436.0,20.0,290.0,312.0,14.0,italk
COL4A1 to ITGAV,93.0,71.0,25.0,187.0,169.0,18.0,italk
COL4A1 to ITGB1,63.0,47.0,25.0,210.5,200.0,18.0,italk
COL4A1 to ITGB8,279.0,276.0,23.0,277.0,280.0,16.0,italk
COL4A3 to CD47,222.0,212.0,25.0,219.0,212.0,21.0,italk
COL4A3 to ITGA1,213.0,206.0,25.0,183.0,166.0,21.0,italk
COL4A3 to ITGA2,463.0,507.0,20.0,277.0,281.0,17.0,italk
COL4A3 to ITGAV,160.0,163.0,25.0,160.0,145.0,21.0,italk
COL4A3 to ITGB1,166.0,168.0,25.0,160.0,146.0,21.0,italk
COL4A4 to CD47,200.0,198.0,23.0,202.0,193.0,19.0,italk
COL4A4 to ITGA1,192.0,194.0,23.0,187.0,170.0,19.0,italk
COL4A4 to ITGA2,433.0,477.0,18.0,281.0,292.0,15.0,italk
COL4A4 to ITGAV,154.0,159.0,23.0,142.0,132.0,19.0,italk
COL4A4 to ITGB1,151.0,154.0,23.0,141.0,130.0,19.0,italk
COL4A5 to CD47,187.5,188.0,26.0,175.0,155.0,22.0,italk
COL4A5 to ITGA1,147.0,149.0,26.0,115.0,109.0,22.0,italk
COL4A5 to ITGA2,359.0,391.0,21.0,258.0,258.0,18.0,italk
COL4A5 to ITGAV,126.0,122.0,26.0,108.5,98.0,22.0,italk
COL4A5 to ITGB1,130.5,127.0,26.0,114.0,106.0,22.0,italk
COL4A6 to CD47,392.5,432.0,22.0,279.0,289.0,19.0,italk
COL4A6 to ITGA1,382.0,419.0,22.0,275.0,278.0,19.0,italk
COL4A6 to ITGA2,510.5,518.0,18.0,314.5,344.0,16.0,italk
COL4A6 to ITGAV,348.5,367.0,22.0,277.0,282.0,19.0,italk
COL4A6 to ITGB1,341.0,353.0,22.0,282.0,294.0,19.0,italk
COL5A1 to ITGA1,243.0,231.0,18.0,241.0,238.0,12.0,italk
COL5A1 to ITGB1,204.5,201.0,18.0,179.0,162.0,12.0,italk
COL5A2 to ITGA1,156.0,162.0,23.0,282.0,295.0,20.0,italk
COL5A2 to ITGB1,139.0,139.0,23.0,283.0,298.0,20.0,italk
COL6A1 to ITGA1,126.5,123.0,20.0,215.5,208.0,14.0,italk
COL6A1 to ITGA2,316.0,319.0,17.0,315.5,348.0,12.0,italk
COL6A1 to ITGB1,135.5,132.0,20.0,179.0,163.0,14.0,italk
COL6A2 to ITGA1,70.0,54.0,21.0,187.0,171.0,15.0,italk
COL6A2 to ITGA2,368.0,402.0,18.0,288.0,299.0,13.0,italk
COL6A2 to ITGB1,59.0,45.0,21.0,112.0,102.0,15.0,italk
COL7A1 to ITGA2,541.0,535.0,16.0,317.0,351.0,15.0,italk
COL7A1 to ITGB1,339.0,349.0,21.0,290.0,313.0,19.0,italk
COL8A1 to ITGA1,119.0,107.0,26.0,110.0,100.0,21.0,italk
COL8A1 to ITGA2,408.0,448.0,21.0,292.0,315.0,17.0,italk
COLQ to MUSK,442.0,485.0,22.0,350.0,378.0,19.0,italk
CP to SLC40A1,290.5,289.0,26.0,227.0,223.0,22.0,italk
CXCL8 to SDC2,49.5,36.0,26.0,40.5,27.0,22.0,italk
CXCL8 to SDC3,448.5,494.0,16.0,297.5,321.0,14.0,italk
DCN to EGFR,168.0,169.0,24.0,209.0,199.0,19.0,italk
DCN to ERBB4,353.0,379.0,19.0,315.0,346.0,17.0,italk
DKK1 to KREMEN1,375.0,411.0,14.0,345.0,377.0,13.0,italk
DKK1 to LRP6,389.0,430.0,13.0,361.5,391.0,12.0,italk
DLL1 to NOTCH2,236.0,223.0,25.0,205.0,197.0,21.0,italk
DLL1 to NOTCH3,533.5,531.0,14.0,404.5,441.0,12.0,italk
DUSP18 to CD151,280.5,278.0,24.0,248.0,245.0,21.0,italk
DUSP18 to ITGA1,312.5,312.0,24.0,258.0,259.0,21.0,italk
DUSP18 to ITGA2,512.0,520.0,19.0,324.0,359.0,17.0,italk
DUSP18 to ITGB1,268.5,267.0,24.0,234.0,230.0,21.0,italk
DUSP18 to RPSA,224.5,214.0,24.0,197.0,188.0,21.0,italk
ECM1 to CACHD1,512.0,521.0,13.0,,,,italk
EDIL3 to ITGAV,142.0,143.0,25.0,151.0,141.0,21.0,italk
EDIL3 to ITGB5,193.0,195.0,25.0,205.0,198.0,21.0,italk
EDN1 to EDNRA,266.5,263.0,22.0,244.5,240.0,18.0,italk
EDN2 to EDNRA,362.0,393.0,13.0,303.5,326.0,12.0,italk
EFEMP1 to EGFR,104.0,88.0,26.0,81.5,68.0,22.0,italk
EFEMP2 to LINGO1,409.5,450.0,18.0,357.0,386.0,13.0,italk
EFEMP2 to PLSCR4,273.5,269.0,24.0,288.0,300.0,19.0,italk
EFNA1 to EPHA3,274.5,270.0,22.0,289.0,306.0,21.0,italk
EFNA4 to EPHA3,,,,407.0,445.0,11.0,italk
EFNA5 to EPHA3,210.0,203.0,22.0,221.0,216.0,21.0,italk
EFNA5 to EPHB2,342.0,354.0,23.0,309.0,336.0,19.0,italk
EFNB1 to EPHB2,397.0,439.0,17.0,410.0,447.0,15.0,italk
EFNB2 to EPHA3,291.0,291.0,22.0,304.5,329.0,20.0,italk
EFNB2 to EPHB2,323.0,327.0,23.0,332.0,364.0,18.0,italk
EREG to EGFR,266.0,262.0,22.0,282.0,296.0,19.0,italk
EREG to ERBB4,380.0,417.0,18.0,379.0,417.0,17.0,italk
F8 to LDLR,421.0,465.0,16.0,337.0,371.0,15.0,italk
F8 to LRP1,383.0,420.0,17.0,315.0,347.0,16.0,italk
FARP2 to PLXNA2,204.0,200.0,25.0,196.0,185.0,21.0,italk
FARP2 to PLXNA4,322.5,326.0,22.0,316.5,350.0,20.0,italk
FBLN1 to ITGB1,224.5,213.0,24.0,193.0,180.0,20.0,italk
FBN1 to ITGA5,332.5,340.0,18.0,328.0,361.0,13.0,italk
FBN1 to ITGAV,242.0,230.0,19.0,319.5,355.0,14.0,italk
FBN1 to ITGB1,245.0,232.0,19.0,320.5,357.0,14.0,italk
FGF12 to FGFR1,433.0,478.0,23.0,335.0,369.0,20.0,italk
FGF12 to FGFR4,548.0,538.0,13.0,370.5,404.0,12.0,italk
FGF13 to EGFR,149.5,151.0,26.0,121.0,112.0,22.0,italk
